time_s,sample_A_K,rad_shield_B_K,arm_C_K,ccr_D_K
0.000,9.511400,34.905700,10.389000,9.434200
1.023,9.535200,34.905900,10.389900,9.402800
2.044,9.506100,34.905900,10.392000,9.395400
3.119,9.535100,34.906300,10.393600,9.384800
4.148,9.500100,34.907300,10.388500,9.392800
5.196,9.526200,34.907400,10.383500,9.364800
6.225,9.504900,34.907500,10.387100,9.403200
7.250,9.546600,34.907100,10.389800,9.444200
8.292,9.534900,34.906600,10.405400,9.442800
9.312,9.562400,34.905600,10.409600,9.441500
10.341,9.536400,34.904100,10.413300,9.410200
11.360,9.565400,34.903400,10.417200,9.514300
12.392,9.570400,34.901900,10.426800,9.425200
13.410,9.553000,34.899900,10.414800,9.489200
14.432,9.540800,34.900500,10.411400,9.374600
15.450,9.541300,34.899400,10.411600,9.461000
16.487,9.572600,34.899500,10.418300,9.451300
17.517,9.550400,34.897800,10.419100,9.474400
18.541,9.574700,34.897800,10.423000,9.441300
19.585,9.549800,34.898700,10.424300,9.441700
20.618,9.580100,34.897500,10.428000,9.433100
21.640,9.546500,34.898000,10.426200,9.444900
22.686,9.582600,34.897400,10.425600,9.491200
23.716,9.550500,34.896800,10.426700,9.454000
24.744,9.576900,34.897400,10.425000,9.465200
25.786,9.540000,34.898400,10.420900,9.402700
26.810,9.567500,34.898200,10.415200,9.448400
27.837,9.532100,34.898800,10.414100,9.405200
28.862,9.552700,34.897700,10.411200,9.500000
29.904,9.540300,34.897700,10.418600,9.419500
30.937,9.561800,34.897300,10.414100,9.500500
31.964,9.561200,34.896000,10.423100,9.398000
33.004,9.561300,34.895600,10.416000,9.478500
34.030,9.542500,34.894600,10.415100,9.388000
35.053,9.543700,34.897400,10.414500,9.465300
36.090,9.564800,34.896300,10.415900,9.429900
37.118,9.545800,34.897000,10.411800,9.474100
38.140,9.575600,34.896700,10.420200,9.430700
39.185,9.555000,34.897700,10.427800,9.456400
40.211,9.575900,34.897700,10.432300,9.414700
41.238,9.543000,34.895200,10.423800,9.448300
42.260,9.573000,34.896700,10.420600,9.461800
43.406,9.568100,34.897800,10.418700,9.504200
44.428,9.559600,34.897300,10.424900,9.396600
45.450,9.547200,34.897300,10.421300,9.465900
46.492,9.576800,34.898200,10.422600,9.455900
47.529,9.547400,34.898500,10.420400,9.465500
48.559,9.558100,34.898500,10.414300,9.420900
49.601,9.523700,34.896800,10.406500,9.457100
50.624,9.545100,34.896800,10.403600,9.392400
51.645,9.510800,34.897000,10.398300,9.406700
52.667,9.537700,34.898500,10.393300,9.435800
53.707,9.520100,34.896600,10.396000,9.428700
54.735,9.559500,34.896600,10.404200,9.448000
55.762,9.525200,34.896700,10.408200,9.389700
56.803,9.537300,34.896300,10.402900,9.435000
57.830,9.519900,34.898000,10.405400,9.392400
58.861,9.542500,34.897300,10.400000,9.489700
59.899,9.530000,34.896400,10.401300,9.388600
60.931,9.524300,34.897400,10.389100,9.448800
61.956,9.519800,34.896400,10.390200,9.362100
62.999,9.515700,34.897300,10.390600,9.454100
64.036,9.513500,34.897800,10.394000,9.361900
65.064,9.522600,34.896700,10.393900,9.445900
66.106,9.530200,34.898800,10.403700,9.389300
67.135,9.542800,34.899800,10.407900,9.470100
68.168,9.542500,34.899800,10.405000,9.384700
69.206,9.530800,34.899500,10.395600,9.475000
70.228,9.543800,34.901900,10.402600,9.380700
71.251,9.532800,34.901300,10.406700,9.440400
72.294,9.570100,34.899600,10.412700,9.453700
73.319,9.536500,34.901000,10.413000,9.448700
74.351,9.562300,34.900700,10.412100,9.441100
75.390,9.516400,34.900000,10.406300,9.389900
76.420,9.532000,34.901000,10.393700,9.399100
77.444,9.495500,34.901300,10.387300,9.375400
78.563,9.529900,34.901700,10.385700,9.385600
79.596,9.495300,34.902000,10.383000,9.436300
80.621,9.515200,34.902800,10.380300,9.357300
81.644,9.482900,34.903500,10.375800,9.378900
82.672,9.515900,34.902800,10.371200,9.409300
83.705,9.488200,34.905300,10.374700,9.392000
84.721,9.507900,34.904600,10.369500,9.384500
85.745,9.479200,34.904900,10.369200,9.345500
86.773,9.494000,34.904200,10.365400,9.436800
87.807,9.478400,34.906700,10.368900,9.354000
88.827,9.507100,34.906300,10.367900,9.445300
89.851,9.497800,34.905700,10.373100,9.330900
90.892,9.494900,34.907400,10.374300,9.411900
91.918,9.500900,34.908700,10.380000,9.343900
92.942,9.498900,34.908700,10.376400,9.421400
93.961,9.526600,34.908000,10.380700,9.396400
95.005,9.504100,34.907700,10.385200,9.448700
96.026,9.544300,34.906300,10.394700,9.399700
97.049,9.516900,34.907000,10.399600,9.415600
98.074,9.546500,34.907500,10.398200,9.453600
99.106,9.516900,34.906600,10.399200,9.418600
100.128,9.545400,34.907500,10.396800,9.436400
101.150,9.509000,34.906700,10.396300,9.368600
102.172,9.516000,34.907100,10.387600,9.449100
103.210,9.496000,34.907400,10.387200,9.363200
104.240,9.500500,34.907400,10.375400,9.437800
105.264,9.491000,34.907100,10.369400,9.317400
106.307,9.475100,34.906600,10.360600,9.437100
107.329,9.504900,34.907500,10.373900,9.339400
108.348,9.496900,34.908500,10.376200,9.412900
109.394,9.528800,34.907700,10.381600,9.405700
110.420,9.503400,34.908900,10.380800,9.422500
111.442,9.524600,34.907100,10.381400,9.392400
112.474,9.494200,34.906400,10.382000,9.383600
113.506,9.536900,34.907300,10.388700,9.389100
114.530,9.505700,34.907400,10.392600,9.394300
115.558,9.521900,34.907000,10.382000,9.424700
116.603,9.502800,34.906600,10.382100,9.395900
117.625,9.525100,34.906300,10.380500,9.413100
118.744,9.480000,34.906200,10.373000,9.385600
119.762,9.506500,34.908000,10.366200,9.385400
120.808,9.488200,34.907400,10.368100,9.403800
121.829,9.525100,34.907100,10.374700,9.408500
122.845,9.494700,34.906300,10.382000,9.373900
123.865,9.517100,34.907300,10.377600,9.456200
124.906,9.505500,34.907000,10.380500,9.371600
125.934,9.506600,34.907800,10.371200,9.420800
126.955,9.479700,34.906900,10.366000,9.320800
127.975,9.492500,34.907000,10.367100,9.415500
129.012,9.508900,34.906900,10.382200,9.363300
130.035,9.530900,34.908800,10.393000,9.462100
131.059,9.552100,34.909100,10.403800,9.403800
132.097,9.520200,34.908100,10.402900,9.420800
133.114,9.543700,34.905700,10.403500,9.384200
134.138,9.514000,34.906000,10.400800,9.412000
135.166,9.531000,34.906700,10.389400,9.416100
136.198,9.504100,34.907300,10.388600,9.367200
137.220,9.548400,34.905300,10.393100,9.431900
138.246,9.514000,34.905200,10.398600,9.387800
139.269,9.542800,34.905700,10.398800,9.490500
140.308,9.539300,34.904900,10.404900,9.398100
141.329,9.541300,34.905500,10.398500,9.472900
142.357,9.521900,34.903500,10.397300,9.359100
143.400,9.519100,34.905200,10.395900,9.432200
144.425,9.512900,34.904800,10.394000,9.357000
145.445,9.505000,34.905500,10.385400,9.420400
146.477,9.519400,34.904600,10.380600,9.379200
147.509,9.504400,34.905300,10.377400,9.431700
148.532,9.532700,34.903700,10.386500,9.382900
149.560,9.513200,34.903200,10.393500,9.414700
150.601,9.557900,34.902000,10.401600,9.457200
151.628,9.528000,34.902400,10.406900,9.432300
152.657,9.554900,34.902000,10.404600,9.438100
153.700,9.526600,34.902000,10.407400,9.393100
154.724,9.568600,34.901600,10.409700,9.453900
155.761,9.539500,34.900500,10.418800,9.415200
156.809,9.564600,34.901200,10.417500,9.455300
157.840,9.547700,34.898900,10.426000,9.431800
158.910,9.581100,34.899800,10.429300,9.436400
159.936,9.537100,34.900300,10.424400,9.424600
160.964,9.545300,34.899400,10.407900,9.450000
162.002,9.515800,34.898900,10.400100,9.360200
163.026,9.530900,34.900000,10.390100,9.421000
164.048,9.502600,34.898900,10.386800,9.362100
165.077,9.526300,34.899600,10.391300,9.462300
166.113,9.540000,34.899200,10.399900,9.381700
167.136,9.531900,34.899800,10.397200,9.473600
168.166,9.521800,34.900500,10.394700,9.352500
169.215,9.511700,34.901900,10.380100,9.447300
170.237,9.498500,34.901900,10.377200,9.328900
171.267,9.483000,34.902300,10.371000,9.390600
172.301,9.514400,34.902100,10.369600,9.395500
173.334,9.496900,34.902300,10.374900,9.412500
174.367,9.520500,34.901400,10.376400,9.389700
175.406,9.496700,34.900900,10.382900,9.433800
176.430,9.535900,34.899600,10.388200,9.390200
177.447,9.507200,34.901000,10.393300,9.401500
178.469,9.536600,34.900600,10.389700,9.444200
179.509,9.512900,34.901400,10.395000,9.403300
180.537,9.532800,34.902300,10.387600,9.421600
181.560,9.499300,34.901700,10.387500,9.360200
182.602,9.520100,34.899900,10.386800,9.456600
183.626,9.515000,34.899400,10.396100,9.389700
184.654,9.538100,34.899900,10.399200,9.482500
185.701,9.538600,34.900300,10.402100,9.372800
186.729,9.543000,34.900900,10.399600,9.480600
187.755,9.541400,34.900300,10.406000,9.381100
188.804,9.538900,34.900900,10.409400,9.458200
189.840,9.556800,34.900700,10.421400,9.401600
190.860,9.543100,34.900300,10.418000,9.459500
191.908,9.561300,34.900000,10.411900,9.389300
192.940,9.541000,34.899400,10.410700,9.467500
193.970,9.556800,34.899600,10.411400,9.406100
195.018,9.533600,34.898800,10.403500,9.465600
196.041,9.547400,34.898800,10.405100,9.389900
197.065,9.522900,34.899400,10.406600,9.419500
198.105,9.549400,34.899900,10.401200,9.438500
199.134,9.527800,34.900000,10.404000,9.435800
200.158,9.549300,34.899400,10.402300,9.428500
201.205,9.505600,34.901400,10.397800,9.373100
202.233,9.545900,34.901000,10.393300,9.430000
203.260,9.533300,34.901600,10.406500,9.416300
204.306,9.557100,34.903200,10.412000,9.492400
205.334,9.529800,34.901900,10.411300,9.419200
206.360,9.549100,34.901000,10.408100,9.465700
207.403,9.518700,34.902800,10.399900,9.360500
208.424,9.527300,34.902300,10.388400,9.429600
209.451,9.500500,34.902500,10.386400,9.348500
210.478,9.501500,34.903100,10.380000,9.419700
211.519,9.502000,34.903000,10.383800,9.363000
212.546,9.509900,34.901200,10.384000,9.435200
213.574,9.515300,34.901300,10.380100,9.358700
214.606,9.499100,34.901900,10.384500,9.393100
215.628,9.499700,34.901000,10.377500,9.329200
216.647,9.471700,34.903900,10.365200,9.374400
217.673,9.510600,34.904500,10.364100,9.395500
218.706,9.481700,34.904800,10.370700,9.350500
219.723,9.517200,34.905200,10.371600,9.396600
220.742,9.482300,34.905900,10.374300,9.356500
221.758,9.506200,34.904800,10.369700,9.444500
222.778,9.502600,34.907400,10.376000,9.336300
223.816,9.518200,34.908200,10.375200,9.443800
224.846,9.519000,34.905600,10.387700,9.363700
225.864,9.517300,34.907300,10.392400,9.438300
226.912,9.547500,34.907800,10.399200,9.373700
227.944,9.531400,34.907700,10.401400,9.453600
229.069,9.526600,34.909600,10.406900,9.384000
230.105,9.523900,34.909400,10.397200,9.455200
231.132,9.518100,34.908700,10.401400,9.384200
232.152,9.531200,34.908900,10.397200,9.474800
233.175,9.525700,34.907500,10.395300,9.360100
234.216,9.506100,34.908800,10.389000,9.472000
235.249,9.524200,34.909500,10.394500,9.357000
236.287,9.508900,34.910600,10.391300,9.422900
237.323,9.513400,34.910300,10.390000,9.355700
238.350,9.507300,34.912800,10.386600,9.427900
239.376,9.533700,34.911400,10.388500,9.406000
240.413,9.503200,34.913000,10.386500,9.436600
241.438,9.523900,34.913100,10.386600,9.375800
242.460,9.482800,34.913700,10.378200,9.371900
243.510,9.504600,34.913100,10.368100,9.411800
244.539,9.475500,34.914400,10.365700,9.374500
245.562,9.522000,34.915600,10.371200,9.417700
246.585,9.496400,34.914500,10.380400,9.355600
247.627,9.535500,34.916000,10.383700,9.419900
248.658,9.504900,34.915700,10.391700,9.371700
249.707,9.502100,34.915700,10.378100,9.440300
250.737,9.482700,34.915500,10.375400,9.357100
251.761,9.494900,34.917800,10.366700,9.427800
252.805,9.490000,34.916900,10.365500,9.324200
253.839,9.508100,34.918100,10.366000,9.432000
254.865,9.500100,34.918400,10.377400,9.341000
255.906,9.500400,34.917300,10.379000,9.417700
256.944,9.506500,34.917500,10.383900,9.357200
257.964,9.519300,34.915700,10.386900,9.449700
258.986,9.552300,34.915700,10.399700,9.410700
260.025,9.554400,34.913800,10.411100,9.493600
261.053,9.567900,34.913800,10.421400,9.411600
262.076,9.531400,34.911800,10.416500,9.426900
263.121,9.532900,34.911400,10.405100,9.363200
264.181,9.510700,34.910700,10.394900,9.419100
265.225,9.538800,34.911800,10.401400,9.376600
266.255,9.528000,34.910700,10.405100,9.442000
267.273,9.553000,34.913500,10.403900,9.433900
268.314,9.511700,34.911400,10.401800,9.434200
269.343,9.532500,34.911600,10.393800,9.397300
270.379,9.494000,34.909600,10.387200,9.374900
271.426,9.518400,34.909500,10.381000,9.370600
272.461,9.497600,34.910300,10.383500,9.393200
273.487,9.527500,34.910200,10.383700,9.432800
274.527,9.499500,34.909600,10.385200,9.398100
275.553,9.543500,34.908800,10.388400,9.440000
276.581,9.519400,34.909100,10.400500,9.379400
277.621,9.535000,34.908900,10.400600,9.437800
278.649,9.532700,34.906900,10.409300,9.405900
279.680,9.551900,34.907500,10.411000,9.495500
280.727,9.516400,34.906600,10.408000,9.390500
281.755,9.527200,34.906200,10.393100,9.463900
282.784,9.532300,34.903700,10.396500,9.372600
283.821,9.559600,34.905600,10.406100,9.483200
284.846,9.552300,34.905000,10.416200,9.401300
285.865,9.552100,34.903900,10.419900,9.474600
286.912,9.572700,34.903200,10.422100,9.438900
287.933,9.547100,34.903700,10.416300,9.471900
288.950,9.568600,34.903800,10.418900,9.420700
289.976,9.544700,34.902500,10.421200,9.447200
291.019,9.584700,34.902100,10.426900,9.422200
292.047,9.546800,34.901900,10.427400,9.448800
293.071,9.577200,34.900500,10.424000,9.466400
294.116,9.537900,34.901900,10.422200,9.448600
295.137,9.569200,34.902100,10.418700,9.446800
296.169,9.521300,34.901200,10.412400,9.389600
297.210,9.529100,34.900000,10.398800,9.471700
298.238,9.507700,34.901600,10.397300,9.387400
299.361,9.539400,34.901900,10.395600,9.404800
300.390,9.512400,34.901200,10.398100,9.405400
301.428,9.549000,34.901900,10.405000,9.398200
302.461,9.502400,34.902300,10.396900,9.391700
303.488,9.520100,34.903000,10.382500,9.419800
304.527,9.480300,34.903400,10.375200,9.374800
305.555,9.502500,34.905900,10.363900,9.389000
306.590,9.481400,34.905500,10.369500,9.345000
307.628,9.506800,34.908100,10.367200,9.382500
308.656,9.490600,34.908000,10.373200,9.367500
309.688,9.523200,34.906900,10.381500,9.471900
310.723,9.519800,34.905200,10.389200,9.382100
311.758,9.539200,34.906700,10.389900,9.475400
312.794,9.539200,34.904900,10.405700,9.378100
313.824,9.551800,34.903400,10.403000,9.467700
314.851,9.547700,34.903200,10.413700,9.396600
315.881,9.544700,34.903100,10.416300,9.461500
316.924,9.553000,34.903000,10.410400,9.382400
317.949,9.537300,34.902500,10.405900,9.466200
318.970,9.553200,34.901300,10.408600,9.402000
320.011,9.520500,34.902500,10.406900,9.412700
321.035,9.539100,34.902700,10.403300,9.376400
322.063,9.512000,34.902800,10.398300,9.413500
323.087,9.538300,34.901600,10.392700,9.421100
324.124,9.506100,34.901300,10.390500,9.422200
325.147,9.542700,34.902100,10.393900,9.424600
326.170,9.521300,34.903100,10.400900,9.401700
327.213,9.561100,34.902400,10.409600,9.509500
328.248,9.567200,34.902000,10.432600,9.454000
329.271,9.595900,34.902500,10.438500,9.528300
330.318,9.587800,34.901000,10.448800,9.425100
331.349,9.596100,34.900900,10.440600,9.514200
332.382,9.569200,34.899800,10.442700,9.411800
333.420,9.559500,34.898000,10.431000,9.485800
334.448,9.554300,34.896600,10.432400,9.407400
335.484,9.559500,34.895900,10.426900,9.484700
336.527,9.550400,34.896300,10.428000,9.416100
337.546,9.564400,34.895600,10.425100,9.505000
338.578,9.574700,34.895200,10.430700,9.413000
339.616,9.533400,34.896700,10.421900,9.431500
340.650,9.541800,34.896200,10.412700,9.372900
341.682,9.534300,34.897100,10.411000,9.449300
342.731,9.553600,34.897000,10.419400,9.394000
343.754,9.558200,34.897000,10.425500,9.479200
344.785,9.585600,34.897000,10.431300,9.460400
345.832,9.564200,34.895600,10.429800,9.489900
346.867,9.582800,34.895900,10.433700,9.439900
347.915,9.534000,34.896400,10.423600,9.421600
348.937,9.558700,34.897500,10.418000,9.403000
349.959,9.533000,34.895500,10.416200,9.429600
350.986,9.570500,34.896200,10.415100,9.472100
352.030,9.555700,34.896600,10.426600,9.464100
353.054,9.579800,34.897300,10.429000,9.460500
354.083,9.544700,34.897000,10.425300,9.411400
355.120,9.556400,34.896400,10.421400,9.492000
356.139,9.526300,34.896200,10.416000,9.398500
357.162,9.535900,34.895600,10.403100,9.477400
358.188,9.526000,34.896400,10.398400,9.360200
359.229,9.526800,34.896600,10.391300,9.451400
360.255,9.509000,34.897400,10.389000,9.347500
361.289,9.495400,34.897800,10.381500,9.408900
362.331,9.494300,34.899400,10.379600,9.342000
363.355,9.492000,34.898800,10.373300,9.411100
364.372,9.514700,34.899100,10.373800,9.373300
365.399,9.492500,34.899100,10.380000,9.386100
366.435,9.519300,34.897800,10.382700,9.361800
367.454,9.491700,34.899200,10.381900,9.385000
368.473,9.513000,34.900900,10.373800,9.404100
369.570,9.484400,34.901200,10.370400,9.392600
370.589,9.521200,34.901200,10.375300,9.403300
371.626,9.486200,34.899900,10.375300,9.405300
372.645,9.532200,34.901700,10.380700,9.417200
373.667,9.510600,34.901300,10.392800,9.391300
374.695,9.532600,34.900300,10.390700,9.477000
375.731,9.512900,34.901200,10.394200,9.400400
376.768,9.534300,34.900700,10.390100,9.456700
377.791,9.514200,34.901000,10.391200,9.355900
378.831,9.529400,34.902300,10.383700,9.437400
379.857,9.514200,34.902400,10.388100,9.368300
380.876,9.520100,34.903200,10.388600,9.450100
381.900,9.534400,34.903100,10.390100,9.392100
382.934,9.521300,34.905500,10.386300,9.455400
383.958,9.537700,34.901700,10.391900,9.384800
384.983,9.510000,34.902800,10.391400,9.411900
386.021,9.541500,34.903100,10.390400,9.432700
387.047,9.504600,34.903000,10.386500,9.412100
388.071,9.528900,34.902800,10.381000,9.411700
389.098,9.502000,34.903800,10.383300,9.376900
390.137,9.550500,34.902500,10.390900,9.436200
391.172,9.528100,34.902500,10.402900,9.412500
392.199,9.559700,34.902400,10.407900,9.501200
393.238,9.541400,34.901000,10.413900,9.435300
394.267,9.577900,34.901400,10.418800,9.504100
395.287,9.557100,34.900500,10.423000,9.402300
396.331,9.544700,34.898500,10.414500,9.476600
397.352,9.544700,34.898900,10.417200,9.393300
398.379,9.553100,34.898200,10.415400,9.482700
399.396,9.571100,34.897800,10.418100,9.427500
400.434,9.532300,34.897800,10.412100,9.470900
401.467,9.543100,34.896600,10.403700,9.385600
402.501,9.526100,34.896700,10.402600,9.431400
403.537,9.558700,34.895700,10.411600,9.397600
404.677,9.552800,34.896800,10.407200,9.494800
405.702,9.547500,34.897300,10.411100,9.382700
406.739,9.553200,34.899100,10.407000,9.474800
407.773,9.523800,34.899800,10.401300,9.363600
408.802,9.515900,34.898000,10.391800,9.433300
409.838,9.505800,34.898100,10.388100,9.352700
410.861,9.510100,34.897300,10.383100,9.430200
411.886,9.527000,34.897500,10.381800,9.382400
412.934,9.518400,34.896800,10.384100,9.448000
413.956,9.538200,34.895900,10.389300,9.383800
414.987,9.503800,34.895600,10.388900,9.397300
416.034,9.518700,34.895200,10.383400,9.353300
417.059,9.498900,34.896700,10.380300,9.408400
418.092,9.547900,34.896000,10.386900,9.435500
419.136,9.532800,34.895000,10.401800,9.455300
420.160,9.586800,34.892800,10.416800,9.472300
421.193,9.555300,34.891200,10.427600,9.432700
422.234,9.592600,34.889800,10.427700,9.468000
423.256,9.565300,34.889100,10.435900,9.450800
424.274,9.584400,34.886300,10.430000,9.508200
425.323,9.576000,34.885900,10.434000,9.420100
426.347,9.601000,34.885700,10.437200,9.511800
427.378,9.585100,34.885200,10.445100,9.433800
428.423,9.592100,34.885600,10.445800,9.519600
429.451,9.583800,34.883800,10.452000,9.440800
430.480,9.589700,34.884100,10.444900,9.519400
431.532,9.599100,34.883000,10.445600,9.441100
432.566,9.575900,34.881900,10.434200,9.512400
433.599,9.583200,34.881900,10.433700,9.417000
434.644,9.591700,34.880900,10.436000,9.523400
435.673,9.585800,34.879900,10.442700,9.410700
436.692,9.577100,34.878800,10.441300,9.478600
437.729,9.585100,34.879500,10.435500,9.389900
438.761,9.547300,34.879900,10.421700,9.453100
439.783,9.574200,34.879900,10.419000,9.433200
440.803,9.554300,34.879900,10.427100,9.431900
441.842,9.591800,34.881200,10.432500,9.432800
442.864,9.570200,34.881200,10.437500,9.457500
443.886,9.615100,34.880300,10.444500,9.511600
444.931,9.599500,34.880300,10.457800,9.478400
445.957,9.647500,34.879600,10.465700,9.527800
446.982,9.619900,34.880700,10.479500,9.459700
448.034,9.628600,34.880300,10.475200,9.508100
449.063,9.612300,34.879600,10.477500,9.460900
450.083,9.631000,34.881600,10.472100,9.555400
451.107,9.648600,34.881900,10.482300,9.467100
452.143,9.661700,34.881000,10.492000,9.574100
453.164,9.653900,34.880700,10.497900,9.469600
454.191,9.649900,34.881700,10.499900,9.545600
455.229,9.692500,34.882300,10.508500,9.497400
456.254,9.682800,34.881300,10.521800,9.582600
457.277,9.702600,34.880900,10.524400,9.548200
458.301,9.666800,34.880700,10.523100,9.531700
459.342,9.700900,34.879900,10.524200,9.532900
460.370,9.679500,34.881300,10.529500,9.554700
461.392,9.712800,34.881400,10.530900,9.600500
462.437,9.697700,34.882400,10.538500,9.574800
463.460,9.731300,34.881900,10.543900,9.605100
464.489,9.703400,34.880700,10.550900,9.542000
465.533,9.714100,34.881200,10.546900,9.594800
466.552,9.708400,34.879500,10.552500,9.559800
467.573,9.721000,34.880200,10.549300,9.643200
468.597,9.717200,34.880200,10.549800,9.532400
469.640,9.693700,34.880200,10.543200,9.630400
470.665,9.705600,34.879400,10.543300,9.520300
471.691,9.705200,34.879500,10.546200,9.599700
472.739,9.738300,34.878100,10.554000,9.540900
473.777,9.726700,34.880300,10.559300,9.624700
474.807,9.745900,34.881000,10.564200,9.585700
475.845,9.720000,34.879400,10.558600,9.618500
476.877,9.739000,34.880300,10.558800,9.564900
477.909,9.718000,34.879600,10.562700,9.584800
478.940,9.753300,34.880500,10.570300,9.569500
479.980,9.726000,34.880500,10.570800,9.594300
481.010,9.762000,34.880600,10.571200,9.630600
482.043,9.735900,34.880700,10.578900,9.605800
483.076,9.748700,34.881300,10.570000,9.597500
484.107,9.709500,34.883800,10.564200,9.546800
485.146,9.732600,34.884400,10.555000,9.579300
486.180,9.710400,34.884100,10.557800,9.559200
487.230,9.734500,34.884400,10.557700,9.639100
488.258,9.715200,34.884900,10.561600,9.569900
489.278,9.738400,34.886600,10.558900,9.629000
490.308,9.726200,34.887700,10.565400,9.537300
491.346,9.748400,34.887400,10.565200,9.622500
492.371,9.730800,34.888800,10.570400,9.549600
493.400,9.733200,34.889600,10.568700,9.628600
494.446,9.708700,34.890900,10.564700,9.535200
495.479,9.707900,34.890900,10.550000,9.605600
496.503,9.718800,34.892400,10.548000,9.530000
497.546,9.727600,34.894800,10.551500,9.641400
498.584,9.733300,34.893700,10.560800,9.538800
499.608,9.712000,34.893900,10.560300,9.583700
500.646,9.713200,34.895300,10.555200,9.515700
501.668,9.713900,34.896600,10.554400,9.599100
502.702,9.739800,34.897400,10.558100,9.586200
503.741,9.717400,34.897800,10.561300,9.620400
504.770,9.761300,34.898000,10.571600,9.596200
505.800,9.742700,34.898400,10.583200,9.600800
506.841,9.778200,34.899600,10.590400,9.599100
507.867,9.748400,34.899500,10.594300,9.603100
508.898,9.761200,34.898200,10.582200,9.629600
509.941,9.731500,34.898500,10.575700,9.591000
510.971,9.761700,34.900500,10.574300,9.617500
512.007,9.736300,34.901200,10.580900,9.566300
513.045,9.764300,34.900300,10.579900,9.609900
514.069,9.734700,34.899800,10.580000,9.576200
515.097,9.748200,34.901600,10.576800,9.655600
516.138,9.741800,34.901300,10.574800,9.572000
517.167,9.755500,34.903200,10.573400,9.655800
518.188,9.747800,34.903200,10.581200,9.549800
519.233,9.739500,34.902800,10.578100,9.624300
520.254,9.747300,34.901600,10.583200,9.559200
521.289,9.757100,34.900600,10.586700,9.646900
522.314,9.788100,34.902000,10.594600,9.621400
523.350,9.766300,34.902300,10.598200,9.654300
524.376,9.772100,34.901300,10.593000,9.590500
525.407,9.756800,34.901700,10.594900,9.622200
526.447,9.786800,34.900200,10.601200,9.587000
527.470,9.763300,34.901400,10.600500,9.633700
528.491,9.807900,34.901400,10.609400,9.667100
529.535,9.789000,34.902000,10.621800,9.618300
530.561,9.798800,34.901600,10.613200,9.645000
531.584,9.763000,34.902300,10.609100,9.599800
532.607,9.771400,34.903200,10.599400,9.672900
533.647,9.766100,34.902800,10.603300,9.616400
534.678,9.790200,34.904300,10.606000,9.688500
535.712,9.781300,34.904500,10.609900,9.581900
536.745,9.791500,34.905200,10.604900,9.676800
537.765,9.781300,34.905200,10.609300,9.594100
538.796,9.780100,34.905000,10.610200,9.672100
539.847,9.805100,34.906300,10.617100,9.595600
540.873,9.960600,34.906200,10.667100,9.748700
541.890,10.689400,34.908200,11.017000,10.079400
542.908,12.263600,34.921700,11.907300,11.087800
543.947,14.927100,34.967000,13.618000,13.041300
544.971,17.733900,35.045000,15.602800,15.328300
545.998,20.604400,35.158900,17.701300,17.730400
547.047,22.952900,35.319900,19.924700,20.206300
548.082,24.664800,35.491300,21.791800,22.173200
549.109,27.169500,35.680800,23.115700,23.438200
550.251,29.927000,35.939000,24.479900,25.033600
551.269,31.786600,36.162600,25.855900,26.539400
552.301,33.421700,36.392600,27.146200,27.846800
553.350,35.041400,36.647700,28.364400,29.071900
554.369,36.383900,36.880300,29.348700,30.028800
555.396,37.645800,37.113500,30.248000,31.090400
556.434,38.829500,37.390200,31.069100,32.337900
557.468,40.094600,37.734800,31.938200,33.556000
558.502,41.190200,38.060200,32.674600,34.548300
559.554,42.340300,38.415600,33.434400,35.511000
560.586,43.338300,38.737500,34.109800,36.327700
561.607,44.297600,39.060000,34.746700,37.089200
562.653,45.302500,39.407300,35.410600,37.867700
563.677,46.181600,39.718400,35.996400,38.531200
564.704,47.031200,40.020500,36.569800,39.173400
565.754,47.936000,40.346700,37.171600,39.849600
566.794,48.732000,40.638300,37.695400,40.436700
567.838,49.499900,40.923300,38.203200,41.000100
568.865,50.316500,41.232500,38.738800,41.595700
569.889,51.040300,41.509200,39.224400,42.117600
570.940,51.746000,41.777700,39.695200,42.623300
571.974,52.504500,42.071100,40.195300,43.161700
573.011,53.178600,42.332700,40.638500,43.636900
574.052,53.904200,42.616600,41.113300,44.146300
575.075,54.548300,42.868000,41.532800,44.596500
576.107,55.174700,43.117900,41.942400,45.036700
577.155,55.850800,43.387900,42.381800,45.509400
578.187,56.455100,43.629700,42.774100,45.930100
579.214,57.049800,43.867200,43.156900,46.341600
580.255,57.692300,44.125600,43.570800,46.786100
581.285,58.268300,44.357400,43.938700,47.182400
582.307,58.835700,44.585700,44.300600,47.571000
583.351,59.450000,44.833600,44.691600,47.990900
584.371,59.993800,45.057100,45.041900,48.366700
585.437,60.531000,45.277500,45.385300,48.736600
586.457,61.113400,45.514900,45.756900,49.134900
587.491,61.636900,45.729600,46.089700,49.487600
588.511,62.154000,45.941900,46.420000,49.835600
589.545,62.665700,46.151800,46.775900,50.212400
590.573,63.221600,46.378300,47.093300,50.551000
591.596,63.722100,46.583900,47.408600,50.885200
592.613,64.218200,46.787000,47.721000,51.214500
593.646,64.706600,46.988200,48.059000,51.573000
594.664,65.234200,47.205400,48.363400,51.895300
595.692,65.709600,47.402400,48.662500,52.213600
596.739,66.180600,47.596900,48.959100,52.527400
597.761,66.694900,47.810100,49.276600,52.870200
598.793,67.158000,48.002300,49.562900,53.178200
